file,gameName,stateClass,status,moves,durationMs,error
Msuwa wa Kunja,Msuwa wa Kunja,MsuwaWaKunjaState,OK,71,44,
Msuwa,Msuwa,MsuwaState,OK,222,59,
Musoro Tsoro,Musoro Tsoro,MusoroTsoroState,OK,87,49,
Muvalavala (Luena),Muvalavala (Luena),MuvalavalaLuenaState,OK,153,54,
Muvalavala (Quioco),Muvalavala (Quioco),MuvalavalaQuiocoState,OK,63,55,
Mwambulula,Mwambulula,MwambululaState,OK,763,61,
Mweiso,Mweiso,MweisoState,OK,23,73,
Mwendo,Mwendo,MwendoState,OK,33,58,
Mweso,Mweso,MwesoState,OK,4261,151,
Namudilakunze,Namudilakunze,NamudilakunzeState,OK,368,67,
Nchayo,Nchayo,NchayoState,OK,116,37,
Nchuwa,Nchuwa,NchuwaState,OK,2500,59,
Ngolo,Ngolo,NgoloState,OK,34,53,
Ngulungu,Ngulungu,NgulunguState,OK,18,32,
Njombwa (One Counter),Njombwa (One Counter),NjombwaOneCounterState,OK,569,82,
Njombwa (Two Counters),Njombwa (Two Counters),NjombwaTwoCountersState,MOVE_LIMIT,5000,104,exceeded 5000 moves
Njombwa,Njombwa,NjombwaState,OK,805,66,
Nsolo,Nsolo,NsoloState,OK,812,55,
Nsumbi,Nsumbi,NsumbiState,OK,220,72,
Otep,Otep,OtepState,OK,305,56,
Owela (Benguela),Owela (Benguela),OwelaBenguelaState,OK,62,54,
Pereauni,Pereauni,PereauniState,OK,7,108,
Quela,Quela,QuelaState,OK,2500,108,
Quendo,Quendo,QuendoState,OK,57,34,
Quiela,Quiela,QuielaState,OK,2500,84,
Ryakati,Ryakati,RyakatiState,OK,3610,159,
Spreta,Spreta,SpretaState,OK,100,61,
Sute,Sute,SuteState,OK,388,40,
Tchela,Tchela,TchelaState,OK,128,64,
Tshuba,Tshuba,TshubaState,OK,65,43,
Tsoro (Additional Capture),Tsoro (Additional Capture),TsoroAdditionalCaptureState,OK,47,43,
Tsoro (Baia),Tsoro (Baia),TsoroBaiaState,OK,519,112,
Tsoro (Reentered Captures),Tsoro (Reentered Captures),TsoroReenteredCapturesState,MOVE_LIMIT,5000,124,exceeded 5000 moves
Tsoro,Tsoro,TsoroState,OK,91,44,
Cirgol,Cirgol,CirgolState,OK,23,23,
Katro,Katro,KatroState,OK,212,140,
Mbelele,Mbelele,MbeleleState,OK,288,90,
Okwe (Achalla),Okwe (Achalla),OkweAchallaState,OK,27,35,
Pic,Pic,PicState,OK,163,34,
Sat Gol,Sat Gol,SatGolState,OK,40,32,
Sowing,Sowing,SowingState,OK,3,17,
Abalala'e,Abalala'e,AbalalaEState,OK,188,91,
Gabata (Adowa),Gabata (Adowa),?,START_FAIL,0,48,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Gabata (Aksum),Gabata (Aksum),?,START_FAIL,0,56,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Rab'e,Rab'e,RabEState,MOVE_LIMIT,5000,219,exceeded 5000 moves
Selus (Massawa),Selus (Massawa),?,START_FAIL,0,103,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Selus,Selus,SelusState,OK,2,149,
The Concentration Game,The Concentration Game,?,START_FAIL,0,95,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Adi,Adi,?,START_FAIL,0,56,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Adidada,Adidada,AdidadaState,OK,91,43,
Adjiboto,Adjiboto,AdjibotoState,PLAYOUT_FAIL,0,45,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Ako Okwe,Ako Okwe,AkoOkweState,OK,2500,85,
Altiev,Altiev,AltievState,OK,131,38,
Andada,Andada,AndadaState,OK,145,43,
Andot,Andot,AndotState,OK,90,47,
Aw-li On-nam Ot-tjin,Aw-li On-nam Ot-tjin,AwLiOnNamOtTjinState,OK,69,23,
Awagagae,Awagagae,?,START_FAIL,0,73,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Awari,Awari,AwariState,OK,66,81,
Azigo,Azigo,AzigoState,OK,2500,120,
Baqura,Baqura,BaquraState,OK,301,77,
Bay Khom,Bay Khom,?,START_FAIL,0,64,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Bechi,Bechi,BechiState,PLAYOUT_FAIL,0,98,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Bosh,Bosh,?,START_FAIL,0,42,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Boukerourou,Boukerourou,BoukerourouState,MOVE_LIMIT,5000,73,exceeded 5000 moves
Buqruru,Buqruru,?,START_FAIL,0,149,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Ceelkoqyuqkoqiji,Ceelkoqyuqkoqiji,?,START_FAIL,0,204,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Chongka',Chongka',ChongkaState,OK,135,41,
Chonka,Chonka,ChonkaState,OK,80,40,
Chungcajon,Chungcajon,ChungcajonState,OK,240,43,
Dabuda,Dabuda,DabudaState,OK,114,53,
Daramuti,Daramuti,?,START_FAIL,0,215,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Das Bohnenspiel,Das Bohnenspiel,DasBohnenspielState,OK,61,47,
